Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
inception,raw,V3,TRUE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
inception,raw,V3,TRUE,CW2,0.050251256,0.05,0.050505051,199,100,99,0.05,0.05,0.05
inception,raw,V3,TRUE,DeepFool,0.040697674,0.023529412,0.057471264,172,85,87,0.035,0.02,0.05
inception,raw,V3,TRUE,FGSM,0.102150538,0.11827957,0.086021505,186,93,93,0.095,0.11,0.08
inception,raw,V3,TRUE,LLC,0.056603774,0.076923077,0.037037037,106,52,54,0.03,0.04,0.02
inception,raw,V3,TRUE,PGD,0.08040201,0.111111111,0.05,199,99,100,0.08,0.11,0.05
inception,raw,V3,TRUE,RFGSM,0.081218274,0.101010101,0.06122449,197,99,98,0.08,0.1,0.06
inception,raw,V3,TRUE,STEP_LLC,0.079754601,0.098765432,0.06097561,163,81,82,0.065,0.08,0.05
inception,raw,V3,TRUE,UAP,0.034682081,0.035294118,0.034090909,173,85,88,0.03,0.03,0.03
vgg,raw,16,TRUE,BL-BFGS,0.055,0.06,0.05,200,100,100,0.055,0.06,0.05
vgg,raw,16,TRUE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
vgg,raw,16,TRUE,DeepFool,0.038674033,0.032608696,0.04494382,181,92,89,0.035,0.03,0.04
vgg,raw,16,TRUE,FGSM,0.123655914,0.163043478,0.085106383,186,92,94,0.115,0.15,0.08
vgg,raw,16,TRUE,LLC,0.06185567,0.086956522,0.039215686,97,46,51,0.03,0.04,0.02
vgg,raw,16,TRUE,PGD,0.085427136,0.060606061,0.11,199,99,100,0.085,0.06,0.11
vgg,raw,16,TRUE,RFGSM,0.085,0.08,0.09,200,100,100,0.085,0.08,0.09
vgg,raw,16,TRUE,STEP_LLC,0.117647059,0.162790698,0.071428571,170,86,84,0.1,0.14,0.06
vgg,raw,16,TRUE,UAP,0.038674033,0.054347826,0.02247191,181,92,89,0.035,0.05,0.02
resnet,augmented,18,TRUE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,augmented,18,TRUE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,augmented,18,TRUE,DeepFool,0.038888889,0.033707865,0.043956044,180,89,91,0.035,0.03,0.04
resnet,augmented,18,TRUE,FGSM,0.212643678,0.287234043,0.125,174,94,80,0.185,0.27,0.1
resnet,augmented,18,TRUE,LLC,0.058139535,0.058823529,0.057142857,86,51,35,0.025,0.03,0.02
resnet,augmented,18,TRUE,PGD,0.170854271,0.181818182,0.16,199,99,100,0.17,0.18,0.16
resnet,augmented,18,TRUE,RFGSM,0.126903553,0.12,0.134020619,197,100,97,0.125,0.12,0.13
resnet,augmented,18,TRUE,STEP_LLC,0.192307692,0.270588235,0.098591549,156,85,71,0.15,0.23,0.07
resnet,augmented,18,TRUE,UAP,0.05027933,0.08988764,0.011111111,179,89,90,0.045,0.08,0.01
resnet,augmented,18,FALSE,BL-BFGS,0.04,0.04,0.04,200,100,100,0.04,0.04,0.04
resnet,augmented,18,FALSE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,augmented,18,FALSE,DeepFool,0.036144578,0.033333333,0.039473684,166,90,76,0.03,0.03,0.03
resnet,augmented,18,FALSE,FGSM,0.101123596,0.117647059,0.086021505,178,85,93,0.09,0.1,0.08
resnet,augmented,18,FALSE,LLC,0.058252427,0.098039216,0.019230769,103,51,52,0.03,0.05,0.01
resnet,augmented,18,FALSE,PGD,0.076530612,0.125,0.03,196,96,100,0.075,0.12,0.03
resnet,augmented,18,FALSE,RFGSM,0.060913706,0.071428571,0.050505051,197,98,99,0.06,0.07,0.05
resnet,augmented,18,FALSE,STEP_LLC,0.087248322,0.103896104,0.069444444,149,77,72,0.065,0.08,0.05
resnet,augmented,18,FALSE,UAP,0.025862069,0.025641026,0.025974026,116,39,77,0.015,0.01,0.02
resnet,augmented,34,TRUE,BL-BFGS,0.055,0.06,0.05,200,100,100,0.055,0.06,0.05
resnet,augmented,34,TRUE,CW2,0.055,0.06,0.05,200,100,100,0.055,0.06,0.05
resnet,augmented,34,TRUE,DeepFool,0.051724138,0.046511628,0.056818182,174,86,88,0.045,0.04,0.05
resnet,augmented,34,TRUE,FGSM,0.17032967,0.206521739,0.133333333,182,92,90,0.155,0.19,0.12
resnet,augmented,34,TRUE,LLC,0.059405941,0.051724138,0.069767442,101,58,43,0.03,0.03,0.03
resnet,augmented,34,TRUE,PGD,0.141414141,0.171717172,0.111111111,198,99,99,0.14,0.17,0.11
resnet,augmented,34,TRUE,RFGSM,0.086294416,0.101010101,0.071428571,197,99,98,0.085,0.1,0.07
resnet,augmented,34,TRUE,STEP_LLC,0.127388535,0.166666667,0.088607595,157,78,79,0.1,0.13,0.07
resnet,augmented,34,TRUE,UAP,0.01754386,0.023809524,0.011494253,171,84,87,0.015,0.02,0.01
