Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,raw,18,True,BL-BFGS,0.0,0.12,200,0.0,0.12,
resnet,raw,18,True,CW2,0.005,0.115,200,0.005,0.115,
resnet,raw,18,True,DeepFool,0.0,0.11458333333333333,192,0.0,0.11,
resnet,raw,18,True,FGSM,0.16304347826086957,0.1956521739130435,184,0.15,0.18,
resnet,raw,18,True,LLC,0.05291005291005291,0.026455026455026454,189,0.05,0.025,
resnet,raw,18,True,PGD,0.04,0.15,200,0.04,0.15,
resnet,raw,18,True,RFGSM,0.05102040816326531,0.1377551020408163,196,0.05,0.135,
resnet,raw,18,True,STEP_LLC,0.17261904761904762,0.10119047619047619,168,0.145,0.085,
resnet,raw,18,True,UAP,0.006493506493506494,0.05194805194805195,154,0.005,0.04,
resnet,raw,18,False,BL-BFGS,0.01,0.12,200,0.01,0.12,
resnet,raw,18,False,CW2,0.01,0.115,200,0.01,0.115,
resnet,raw,18,False,DeepFool,0.0055248618784530384,0.055248618784530384,181,0.005,0.05,
resnet,raw,18,False,FGSM,0.18,0.05,200,0.18,0.05,
resnet,raw,18,False,LLC,0.09239130434782608,0.05434782608695652,184,0.085,0.05,
resnet,raw,18,False,PGD,0.105,0.075,200,0.105,0.075,
resnet,raw,18,False,RFGSM,0.05025125628140704,0.06532663316582915,199,0.05,0.065,
resnet,raw,18,False,STEP_LLC,0.15025906735751296,0.031088082901554404,193,0.145,0.03,
resnet,raw,18,False,UAP,0.032432432432432434,0.05945945945945946,185,0.03,0.055,
resnet,raw,34,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
resnet,raw,34,True,CW2,0.005,0.115,200,0.005,0.115,
resnet,raw,34,True,DeepFool,0.0,0.17258883248730963,197,0.0,0.17,
resnet,raw,34,True,FGSM,0.14204545454545456,0.1534090909090909,176,0.125,0.135,
resnet,raw,34,True,LLC,0.021164021164021163,0.026455026455026454,189,0.02,0.025,
resnet,raw,34,True,PGD,0.035,0.16,200,0.035,0.16,
