Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
inception,raw,V3,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
inception,raw,V3,TRUE,CW2,0.005025126,0.01,0,199,100,99,0.005,0.01,0
inception,raw,V3,TRUE,DeepFool,0,0,0,172,85,87,0,0,0
inception,raw,V3,TRUE,FGSM,0.05,0.03,0.07,200,100,100,0.05,0.03,0.07
inception,raw,V3,TRUE,LLC,0,0,0,109,54,55,0,0,0
inception,raw,V3,TRUE,PGD,0.02,0.01,0.03,200,100,100,0.02,0.01,0.03
inception,raw,V3,TRUE,RFGSM,0.025,0.02,0.03,200,100,100,0.025,0.02,0.03
inception,raw,V3,TRUE,STEP_LLC,0.034682081,0.011764706,0.056818182,173,85,88,0.03,0.01,0.05
inception,raw,V3,TRUE,UAP,0,0,0,173,85,88,0,0,0
vgg,raw,16,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
vgg,raw,16,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
vgg,raw,16,TRUE,DeepFool,0,0,0,181,92,89,0,0,0
vgg,raw,16,TRUE,FGSM,0.081218274,0.071428571,0.090909091,197,98,99,0.08,0.07,0.09
vgg,raw,16,TRUE,LLC,0.030927835,0.021276596,0.04,97,47,50,0.015,0.01,0.02
vgg,raw,16,TRUE,PGD,0.035175879,0.03030303,0.04,199,99,100,0.035,0.03,0.04
vgg,raw,16,TRUE,RFGSM,0.035,0.03,0.04,200,100,100,0.035,0.03,0.04
vgg,raw,16,TRUE,STEP_LLC,0.072625698,0.065934066,0.079545455,179,91,88,0.065,0.06,0.07
vgg,raw,16,TRUE,UAP,0,0,0,181,92,89,0,0,0
resnet,augmented,18,TRUE,BL-BFGS,0.01,0.02,0,200,100,100,0.01,0.02,0
resnet,augmented,18,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,augmented,18,TRUE,DeepFool,0.005555556,0.011235955,0,180,89,91,0.005,0.01,0
resnet,augmented,18,TRUE,FGSM,0.180327869,0.151515152,0.214285714,183,99,84,0.165,0.15,0.18
resnet,augmented,18,TRUE,LLC,0.011363636,0.018867925,0,88,53,35,0.005,0.01,0
resnet,augmented,18,TRUE,PGD,0.110552764,0.11,0.111111111,199,100,99,0.11,0.11,0.11
resnet,augmented,18,TRUE,RFGSM,0.075757576,0.07,0.081632653,198,100,98,0.075,0.07,0.08
resnet,augmented,18,TRUE,STEP_LLC,0.164634146,0.134831461,0.2,164,89,75,0.135,0.12,0.15
resnet,augmented,18,TRUE,UAP,0.027777778,0,0.054945055,180,89,91,0.025,0,0.05
resnet,augmented,18,FALSE,BL-BFGS,0.005025126,0.01,0,199,100,99,0.005,0.01,0
resnet,augmented,18,FALSE,CW2,0.005025126,0.01010101,0,199,99,100,0.005,0.01,0
resnet,augmented,18,FALSE,DeepFool,0,0,0,166,90,76,0,0,0
resnet,augmented,18,FALSE,FGSM,0.134078212,0.104651163,0.161290323,179,86,93,0.12,0.09,0.15
resnet,augmented,18,FALSE,LLC,0.019417476,0.039215686,0,103,51,52,0.01,0.02,0
resnet,augmented,18,FALSE,PGD,0.091836735,0.091836735,0.091836735,196,98,98,0.09,0.09,0.09
resnet,augmented,18,FALSE,RFGSM,0.051282051,0.06185567,0.040816327,195,97,98,0.05,0.06,0.04
resnet,augmented,18,FALSE,STEP_LLC,0.106666667,0.102564103,0.111111111,150,78,72,0.08,0.08,0.08
resnet,augmented,18,FALSE,UAP,0.00862069,0,0.012820513,116,38,78,0.005,0,0.01
resnet,augmented,34,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,augmented,34,TRUE,CW2,0.01,0.02,0,200,100,100,0.01,0.02,0
resnet,augmented,34,TRUE,DeepFool,0.005747126,0.011627907,0,174,86,88,0.005,0.01,0
resnet,augmented,34,TRUE,FGSM,0.119791667,0.09375,0.145833333,192,96,96,0.115,0.09,0.14
resnet,augmented,34,TRUE,LLC,0.039215686,0.017241379,0.068181818,102,58,44,0.02,0.01,0.03
resnet,augmented,34,TRUE,PGD,0.095,0.12,0.07,200,100,100,0.095,0.12,0.07
resnet,augmented,34,TRUE,RFGSM,0.055,0.04,0.07,200,100,100,0.055,0.04,0.07
resnet,augmented,34,TRUE,STEP_LLC,0.102409639,0.073170732,0.130952381,166,82,84,0.085,0.06,0.11
resnet,augmented,34,TRUE,UAP,0.011494253,0.011627907,0.011363636,174,86,88,0.01,0.01,0.01
resnet,augmented,34,FALSE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,augmented,34,FALSE,CW2,0.005025126,0.01,0,199,100,99,0.005,0.01,0
resnet,augmented,34,FALSE,DeepFool,0,0,0,167,85,82,0,0,0
resnet,augmented,34,FALSE,FGSM,0.128205128,0.120481928,0.136986301,156,83,73,0.1,0.1,0.1
resnet,augmented,34,FALSE,LLC,0.027522936,0.02,0.033898305,109,50,59,0.015,0.01,0.02
resnet,augmented,34,FALSE,PGD,0.065656566,0.060606061,0.070707071,198,99,99,0.065,0.06,0.07
resnet,augmented,34,FALSE,RFGSM,0.068062827,0.063157895,0.072916667,191,95,96,0.065,0.06,0.07
resnet,augmented,34,FALSE,STEP_LLC,0.078571429,0.0875,0.066666667,140,80,60,0.055,0.07,0.04
resnet,augmented,34,FALSE,UAP,0.011976048,0.011764706,0.012195122,167,85,82,0.01,0.01,0.01
resnet,augmented,50,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,augmented,50,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,augmented,50,TRUE,DeepFool,0,0,0,171,83,88,0,0,0
resnet,augmented,50,TRUE,FGSM,0.068965517,0.076923077,0.060240964,174,91,83,0.06,0.07,0.05
resnet,augmented,50,TRUE,LLC,0.028846154,0.01754386,0.042553191,104,57,47,0.015,0.01,0.02
resnet,augmented,50,TRUE,PGD,0.065326633,0.060606061,0.07,199,99,100,0.065,0.06,0.07
resnet,augmented,50,TRUE,RFGSM,0.045454545,0.05,0.040816327,198,100,98,0.045,0.05,0.04
resnet,augmented,50,TRUE,STEP_LLC,0.051612903,0.050632911,0.052631579,155,79,76,0.04,0.04,0.04
resnet,augmented,50,TRUE,UAP,0,0,0,172,83,89,0,0,0
resnet,augmented,50,FALSE,BL-BFGS,0.005025126,0.01010101,0,199,99,100,0.005,0.01,0
resnet,augmented,50,FALSE,CW2,0.005025126,0.01,0,199,100,99,0.005,0.01,0
resnet,augmented,50,FALSE,DeepFool,0.007092199,0.016129032,0,141,62,79,0.005,0.01,0
resnet,augmented,50,FALSE,FGSM,0.039215686,0.041237113,0,102,97,5,0.02,0.04,0
resnet,augmented,50,FALSE,LLC,0.036036036,0.034482759,0.037735849,111,58,53,0.02,0.02,0.02
resnet,augmented,50,FALSE,PGD,0.035,0.04,0.03,200,100,100,0.035,0.04,0.03
resnet,augmented,50,FALSE,RFGSM,0.043103448,0.04,0.0625,116,100,16,0.025,0.04,0.01
resnet,augmented,50,FALSE,STEP_LLC,0,0,0,101,96,5,0,0,0
