Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,raw,18,True,BL-BFGS,0.05,0.03,200,0.05,0.03,
resnet,raw,18,True,CW2,0.05,0.025,200,0.05,0.025,
resnet,raw,18,True,DeepFool,0.041666666666666664,0.052083333333333336,192,0.04,0.05,
resnet,raw,18,True,FGSM,0.10869565217391304,0.09782608695652174,184,0.1,0.09,
resnet,raw,18,True,LLC,0.0582010582010582,0.010582010582010581,189,0.055,0.01,
resnet,raw,18,True,PGD,0.075,0.07,200,0.075,0.07,
resnet,raw,18,True,RFGSM,0.07142857142857142,0.0663265306122449,196,0.07,0.065,
resnet,raw,18,True,STEP_LLC,0.09523809523809523,0.047619047619047616,168,0.08,0.04,
resnet,raw,18,True,UAP,0.045454545454545456,0.01948051948051948,154,0.035,0.015,
resnet,raw,18,False,BL-BFGS,0.05,0.02,200,0.05,0.02,
resnet,raw,18,False,CW2,0.05,0.025,200,0.05,0.025,
resnet,raw,18,False,DeepFool,0.04419889502762431,0.03867403314917127,181,0.04,0.035,
resnet,raw,18,False,FGSM,0.12,0.015,200,0.12,0.015,
resnet,raw,18,False,LLC,0.08152173913043478,0.016304347826086956,184,0.075,0.015,
resnet,raw,18,False,PGD,0.11,0.025,200,0.11,0.025,
resnet,raw,18,False,RFGSM,0.06532663316582915,0.035175879396984924,199,0.065,0.035,
resnet,raw,18,False,STEP_LLC,0.11398963730569948,0.0,193,0.11,0.0,
resnet,raw,18,False,UAP,0.03783783783783784,0.02702702702702703,185,0.035,0.025,
resnet,raw,34,True,BL-BFGS,0.05,0.025,200,0.05,0.025,
resnet,raw,34,True,CW2,0.05,0.02,200,0.05,0.02,
resnet,raw,34,True,DeepFool,0.04060913705583756,0.07614213197969544,197,0.04,0.075,
resnet,raw,34,True,FGSM,0.09659090909090909,0.07954545454545454,176,0.085,0.07,
resnet,raw,34,True,LLC,0.06349206349206349,0.0,189,0.06,0.0,
resnet,raw,34,True,PGD,0.05,0.065,200,0.05,0.065,
resnet,raw,34,True,RFGSM,0.05699481865284974,0.06735751295336788,193,0.055,0.065,
resnet,raw,34,True,STEP_LLC,0.08552631578947369,0.03289473684210526,152,0.065,0.025,
resnet,raw,34,True,UAP,0.08571428571428572,0.1,70,0.03,0.035,
resnet,raw,34,False,BL-BFGS,0.04,0.025,200,0.04,0.025,
resnet,raw,34,False,CW2,0.045,0.03,200,0.045,0.03,
resnet,raw,34,False,DeepFool,0.030303030303030304,0.030303030303030304,165,0.025,0.025,
resnet,raw,34,False,FGSM,0.10256410256410256,0.020512820512820513,195,0.1,0.02,
resnet,raw,34,False,LLC,0.08241758241758242,0.02197802197802198,182,0.075,0.02,
resnet,raw,34,False,PGD,0.08,0.03,200,0.08,0.03,
resnet,raw,34,False,RFGSM,0.050505050505050504,0.04040404040404041,198,0.05,0.04,
resnet,raw,34,False,STEP_LLC,0.11794871794871795,0.0,195,0.115,0.0,
resnet,raw,34,False,UAP,0.023668639053254437,0.029585798816568046,169,0.02,0.025,
resnet,raw,50,True,BL-BFGS,0.04522613065326633,0.03015075376884422,199,0.045,0.03,
resnet,raw,50,True,CW2,0.05,0.02,200,0.05,0.02,
resnet,raw,50,True,DeepFool,0.05181347150259067,0.06217616580310881,193,0.05,0.06,
resnet,raw,50,True,FGSM,0.0880503144654088,0.10062893081761007,159,0.07,0.08,
resnet,raw,50,True,LLC,0.0481283422459893,0.0106951871657754,187,0.045,0.01,
resnet,raw,50,True,PGD,0.05,0.06,200,0.05,0.06,
resnet,raw,50,True,RFGSM,0.05235602094240838,0.04712041884816754,191,0.05,0.045,
resnet,raw,50,True,STEP_LLC,0.08396946564885496,0.061068702290076333,131,0.055,0.04,
resnet,raw,50,True,UAP,0.1044776119402985,0.029850746268656716,67,0.035,0.01,
resnet,raw,50,False,BL-BFGS,0.045,0.025,200,0.045,0.025,
resnet,raw,50,False,CW2,0.05,0.02,200,0.05,0.02,
resnet,raw,50,False,DeepFool,0.04046242774566474,0.03468208092485549,173,0.035,0.03,
resnet,raw,50,False,FGSM,0.1111111111111111,0.010582010582010581,189,0.105,0.01,
resnet,raw,50,False,LLC,0.07303370786516854,0.02247191011235955,178,0.065,0.02,
resnet,raw,50,False,PGD,0.09,0.02,200,0.09,0.02,
resnet,raw,50,False,RFGSM,0.0625,0.041666666666666664,192,0.06,0.04,
resnet,raw,50,False,STEP_LLC,0.11702127659574468,0.005319148936170213,188,0.11,0.005,
resnet,raw,50,False,UAP,0.03296703296703297,0.04395604395604396,182,0.03,0.04,
resnet,augmented,18,True,BL-BFGS,0.05,0.03,200,0.05,0.03,
resnet,augmented,18,True,CW2,0.05,0.02,200,0.05,0.02,
resnet,augmented,18,True,DeepFool,0.047619047619047616,0.0582010582010582,189,0.045,0.055,
resnet,augmented,18,True,FGSM,0.09042553191489362,0.0797872340425532,188,0.085,0.075,
resnet,augmented,18,True,LLC,0.06077348066298342,0.011049723756906077,181,0.055,0.01,
resnet,augmented,18,True,PGD,0.065,0.08,200,0.065,0.08,
resnet,augmented,18,True,RFGSM,0.06060606060606061,0.06565656565656566,198,0.06,0.065,
resnet,augmented,18,True,STEP_LLC,0.096045197740113,0.05649717514124294,177,0.085,0.05,
resnet,augmented,18,True,UAP,0.05806451612903226,0.025806451612903226,155,0.045,0.02,
resnet,augmented,18,False,BL-BFGS,0.055,0.02,200,0.055,0.02,
resnet,augmented,18,False,CW2,0.055,0.02,200,0.055,0.02,
resnet,augmented,18,False,DeepFool,0.03389830508474576,0.04519774011299435,177,0.03,0.04,
resnet,augmented,18,False,FGSM,0.15025906735751296,0.02072538860103627,193,0.145,0.02,
resnet,augmented,18,False,LLC,0.09392265193370165,0.0,181,0.085,0.0,
resnet,augmented,18,False,PGD,0.135,0.03,200,0.135,0.03,
resnet,augmented,18,False,RFGSM,0.07368421052631578,0.03684210526315789,190,0.07,0.035,
resnet,augmented,18,False,STEP_LLC,0.15846994535519127,0.00546448087431694,183,0.145,0.005,
resnet,augmented,18,False,UAP,0.07894736842105263,0.006578947368421052,152,0.06,0.005,
resnet,augmented,34,True,BL-BFGS,0.05,0.025,200,0.05,0.025,
resnet,augmented,34,True,CW2,0.05,0.02,200,0.05,0.02,
