Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
inception,raw,V3,TRUE,BL-BFGS,0.062176166,0.030927835,0.09375,193,97,96,0.06,0.03,0.09
inception,raw,V3,TRUE,CW2,0.07106599,0.03,0.113402062,197,100,97,0.07,0.03,0.11
inception,raw,V3,TRUE,DeepFool,0.029411765,0.012048193,0.045977011,170,83,87,0.025,0.01,0.04
inception,raw,V3,TRUE,FGSM,0.152284264,0.11,0.195876289,197,100,97,0.15,0.11,0.19
inception,raw,V3,TRUE,LLC,0.04587156,0.037037037,0.054545455,109,54,55,0.025,0.02,0.03
inception,raw,V3,TRUE,PGD,0.1,0.05,0.15,200,100,100,0.1,0.05,0.15
inception,raw,V3,TRUE,RFGSM,0.115577889,0.080808081,0.15,199,99,100,0.115,0.08,0.15
inception,raw,V3,TRUE,STEP_LLC,0.081395349,0.035294118,0.126436782,172,85,87,0.07,0.03,0.11
inception,raw,V3,TRUE,UAP,0.029239766,0.011904762,0.045977011,171,84,87,0.025,0.01,0.04
vgg,raw,16,TRUE,BL-BFGS,0.07106599,0.03030303,0.112244898,197,99,98,0.07,0.03,0.11
vgg,raw,16,TRUE,CW2,0.070351759,0.03030303,0.11,199,99,100,0.07,0.03,0.11
vgg,raw,16,TRUE,DeepFool,0.056179775,0.011111111,0.102272727,178,90,88,0.05,0.01,0.09
vgg,raw,16,TRUE,FGSM,0.196969697,0.183673469,0.21,198,98,100,0.195,0.18,0.21
vgg,raw,16,TRUE,LLC,0.070707071,0.021276596,0.115384615,99,47,52,0.035,0.01,0.06
vgg,raw,16,TRUE,PGD,0.175879397,0.121212121,0.23,199,99,100,0.175,0.12,0.23
vgg,raw,16,TRUE,RFGSM,0.13,0.09,0.17,200,100,100,0.13,0.09,0.17
vgg,raw,16,TRUE,STEP_LLC,0.17679558,0.163043478,0.191011236,181,92,89,0.16,0.15,0.17
vgg,raw,16,TRUE,UAP,0.05,0.010869565,0.090909091,180,92,88,0.045,0.01,0.08
