Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,raw,18,True,BL-BFGS,0.11363636363636363,0.022727272727272728,176,0.1,0.02,
resnet,raw,18,True,CW2,0.12777777777777777,0.022222222222222223,180,0.115,0.02,
resnet,raw,18,True,DeepFool,0.1340782122905028,0.0335195530726257,179,0.12,0.03,
resnet,raw,18,True,FGSM,0.23353293413173654,0.04790419161676647,167,0.195,0.04,
resnet,raw,18,True,LLC,0.1377245508982036,0.005988023952095809,167,0.115,0.005,
resnet,raw,18,True,PGD,0.1878453038674033,0.06077348066298342,181,0.17,0.055,
resnet,raw,18,True,RFGSM,0.1978021978021978,0.06593406593406594,182,0.18,0.06,
resnet,raw,18,True,STEP_LLC,0.21153846153846154,0.02564102564102564,156,0.165,0.02,
resnet,raw,18,True,UAP,0.1267605633802817,0.014084507042253521,142,0.09,0.01,
resnet,raw,18,False,BL-BFGS,0.13333333333333333,0.022222222222222223,180,0.12,0.02,
resnet,raw,18,False,CW2,0.11170212765957446,0.02127659574468085,188,0.105,0.02,
resnet,raw,18,False,DeepFool,0.13690476190476192,0.02976190476190476,168,0.115,0.025,
resnet,raw,18,False,FGSM,0.2786885245901639,0.01639344262295082,183,0.255,0.015,
resnet,raw,18,False,LLC,0.22941176470588234,0.0058823529411764705,170,0.195,0.005,
resnet,raw,18,False,PGD,0.22404371584699453,0.02185792349726776,183,0.205,0.02,
resnet,raw,18,False,RFGSM,0.1925133689839572,0.0053475935828877,187,0.18,0.005,
resnet,raw,18,False,STEP_LLC,0.32786885245901637,0.00546448087431694,183,0.3,0.005,
resnet,raw,18,False,UAP,0.1927710843373494,0.030120481927710843,166,0.16,0.025,
resnet,raw,34,True,BL-BFGS,0.1270718232044199,0.016574585635359115,181,0.115,0.015,
resnet,raw,34,True,CW2,0.125,0.021739130434782608,184,0.115,0.02,
resnet,raw,34,True,DeepFool,0.12849162011173185,0.03910614525139665,179,0.115,0.035,
resnet,raw,34,True,FGSM,0.24,0.06666666666666667,150,0.18,0.05,
resnet,raw,34,True,LLC,0.15517241379310345,0.0,174,0.135,0.0,
resnet,raw,34,True,PGD,0.1925133689839572,0.0748663101604278,187,0.18,0.07,
resnet,raw,34,True,RFGSM,0.1787709497206704,0.07262569832402235,179,0.16,0.065,
resnet,raw,34,True,STEP_LLC,0.2517482517482518,0.027972027972027972,143,0.18,0.02,
resnet,raw,34,True,UAP,0.20967741935483872,0.03225806451612903,62,0.065,0.01,
resnet,raw,34,False,BL-BFGS,0.12105263157894737,0.015789473684210527,190,0.115,0.015,
resnet,raw,34,False,CW2,0.09392265193370165,0.016574585635359115,181,0.085,0.015,
resnet,raw,34,False,DeepFool,0.14666666666666667,0.02666666666666667,150,0.11,0.02,
resnet,raw,34,False,FGSM,0.30978260869565216,0.03804347826086957,184,0.285,0.035,
resnet,raw,34,False,LLC,0.24539877300613497,0.006134969325153374,163,0.2,0.005,
resnet,raw,34,False,PGD,0.20652173913043478,0.03260869565217391,184,0.19,0.03,
resnet,raw,34,False,RFGSM,0.19021739130434784,0.04891304347826087,184,0.175,0.045,
resnet,raw,34,False,STEP_LLC,0.3142857142857143,0.005714285714285714,175,0.275,0.005,
resnet,raw,34,False,UAP,0.17647058823529413,0.0196078431372549,153,0.135,0.015,
resnet,raw,50,True,BL-BFGS,0.14130434782608695,0.016304347826086956,184,0.13,0.015,
resnet,raw,50,True,CW2,0.11956521739130435,0.02717391304347826,184,0.11,0.025,
resnet,raw,50,True,DeepFool,0.12716763005780346,0.03468208092485549,173,0.11,0.03,
resnet,raw,50,True,FGSM,0.2953020134228188,0.06040268456375839,149,0.22,0.045,
resnet,raw,50,True,LLC,0.1807909604519774,0.0,177,0.16,0.0,
resnet,raw,50,True,PGD,0.17222222222222222,0.07222222222222222,180,0.155,0.065,
resnet,raw,50,True,RFGSM,0.20689655172413793,0.05747126436781609,174,0.18,0.05,
resnet,raw,50,True,STEP_LLC,0.2627118644067797,0.03389830508474576,118,0.155,0.02,
resnet,raw,50,True,UAP,0.21311475409836064,0.04918032786885246,61,0.065,0.015,
resnet,raw,50,False,BL-BFGS,0.10989010989010989,0.02197802197802198,182,0.1,0.02,
resnet,raw,50,False,CW2,0.13227513227513227,0.021164021164021163,189,0.125,0.02,
resnet,raw,50,False,DeepFool,0.1320754716981132,0.018867924528301886,159,0.105,0.015,
resnet,raw,50,False,FGSM,0.28488372093023256,0.023255813953488372,172,0.245,0.02,
resnet,raw,50,False,LLC,0.18518518518518517,0.006172839506172839,162,0.15,0.005,
resnet,raw,50,False,PGD,0.21022727272727273,0.028409090909090908,176,0.185,0.025,
resnet,raw,50,False,RFGSM,0.19444444444444445,0.03888888888888889,180,0.175,0.035,
resnet,raw,50,False,STEP_LLC,0.2682926829268293,0.012195121951219513,164,0.22,0.01,
resnet,raw,50,False,UAP,0.1696969696969697,0.030303030303030304,165,0.14,0.025,
resnet,augmented,18,True,BL-BFGS,0.13114754098360656,0.01639344262295082,183,0.12,0.015,
resnet,augmented,18,True,CW2,0.13333333333333333,0.016666666666666666,180,0.12,0.015,
resnet,augmented,18,True,DeepFool,0.1329479768786127,0.04046242774566474,173,0.115,0.035,
resnet,augmented,18,True,FGSM,0.24444444444444444,0.044444444444444446,180,0.22,0.04,
resnet,augmented,18,True,LLC,0.13690476190476192,0.0,168,0.115,0.0,
resnet,augmented,18,True,PGD,0.16759776536312848,0.0446927374301676,179,0.15,0.04,
resnet,augmented,18,True,RFGSM,0.143646408839779,0.06077348066298342,181,0.13,0.055,
resnet,augmented,18,True,STEP_LLC,0.21739130434782608,0.031055900621118012,161,0.175,0.025,
resnet,augmented,18,True,UAP,0.13286713286713286,0.04195804195804196,143,0.095,0.03,
resnet,augmented,18,False,BL-BFGS,0.10382513661202186,0.01639344262295082,183,0.095,0.015,
resnet,augmented,18,False,CW2,0.1276595744680851,0.02127659574468085,188,0.12,0.02,
resnet,augmented,18,False,DeepFool,0.11176470588235295,0.023529411764705882,170,0.095,0.02,
resnet,augmented,18,False,FGSM,0.32954545454545453,0.011363636363636364,176,0.29,0.01,
resnet,augmented,18,False,LLC,0.27218934911242604,0.011834319526627219,169,0.23,0.01,
resnet,augmented,18,False,PGD,0.25,0.016304347826086956,184,0.23,0.015,
resnet,augmented,18,False,RFGSM,0.22033898305084745,0.01694915254237288,177,0.195,0.015,
resnet,augmented,18,False,STEP_LLC,0.3090909090909091,0.006060606060606061,165,0.255,0.005,
resnet,augmented,18,False,UAP,0.2028985507246377,0.014492753623188406,138,0.14,0.01,
resnet,augmented,34,True,BL-BFGS,0.12299465240641712,0.016042780748663103,187,0.115,0.015,
resnet,augmented,34,True,CW2,0.12087912087912088,0.02197802197802198,182,0.11,0.02,
resnet,augmented,34,True,DeepFool,0.10982658959537572,0.046242774566473986,173,0.095,0.04,
resnet,augmented,34,True,FGSM,0.2236024844720497,0.031055900621118012,161,0.18,0.025,
resnet,augmented,34,True,LLC,0.17415730337078653,0.016853932584269662,178,0.155,0.015,
resnet,augmented,34,True,PGD,0.18032786885245902,0.060109289617486336,183,0.165,0.055,
resnet,augmented,34,True,RFGSM,0.1813186813186813,0.054945054945054944,182,0.165,0.05,
resnet,augmented,34,True,STEP_LLC,0.22916666666666666,0.013888888888888888,144,0.165,0.01,
resnet,augmented,34,True,UAP,0.14393939393939395,0.030303030303030304,132,0.095,0.02,
resnet,augmented,34,False,BL-BFGS,0.14130434782608695,0.021739130434782608,184,0.13,0.02,
resnet,augmented,34,False,CW2,0.12637362637362637,0.027472527472527472,182,0.115,0.025,
resnet,augmented,34,False,DeepFool,0.14375,0.01875,160,0.115,0.015,
resnet,augmented,34,False,FGSM,0.29239766081871343,0.0,171,0.25,0.0,
resnet,augmented,34,False,LLC,0.21341463414634146,0.03048780487804878,164,0.175,0.025,
resnet,augmented,34,False,PGD,0.2722222222222222,0.011111111111111112,180,0.245,0.01,
resnet,augmented,34,False,RFGSM,0.2023121387283237,0.005780346820809248,173,0.175,0.005,
resnet,augmented,34,False,STEP_LLC,0.30128205128205127,0.0,156,0.235,0.0,
resnet,augmented,34,False,UAP,0.21367521367521367,0.03418803418803419,117,0.125,0.02,
resnet,augmented,50,True,BL-BFGS,0.11827956989247312,0.016129032258064516,186,0.11,0.015,
resnet,augmented,50,True,CW2,0.13114754098360656,0.01092896174863388,183,0.12,0.01,
resnet,augmented,50,True,DeepFool,0.1366120218579235,0.04371584699453552,183,0.125,0.04,
resnet,augmented,50,True,FGSM,0.2692307692307692,0.046153846153846156,130,0.175,0.03,
resnet,augmented,50,True,LLC,0.16167664670658682,0.0,167,0.135,0.0,
resnet,augmented,50,True,PGD,0.1878453038674033,0.06629834254143646,181,0.17,0.06,
resnet,augmented,50,True,RFGSM,0.20930232558139536,0.05232558139534884,172,0.18,0.045,
