Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,raw,18,True,BL-BFGS,0.18,0.005,200,0.18,0.005,
resnet,raw,18,True,CW2,0.185,0.005,200,0.185,0.005,
resnet,raw,18,True,DeepFool,0.17708333333333334,0.16145833333333334,192,0.17,0.155,
resnet,raw,18,True,FGSM,0.2554347826086957,0.20108695652173914,184,0.235,0.185,
resnet,raw,18,True,LLC,0.21693121693121692,0.08465608465608465,189,0.205,0.08,
resnet,raw,18,True,PGD,0.22,0.175,200,0.22,0.175,
resnet,raw,18,True,RFGSM,0.22448979591836735,0.1836734693877551,196,0.22,0.18,
resnet,raw,18,True,STEP_LLC,0.27380952380952384,0.11904761904761904,168,0.23,0.1,
resnet,raw,18,True,UAP,0.2077922077922078,0.09090909090909091,154,0.16,0.07,
resnet,raw,18,False,BL-BFGS,0.185,0.005,200,0.185,0.005,
resnet,raw,18,False,CW2,0.195,0.005,200,0.195,0.005,
resnet,raw,18,False,DeepFool,0.20441988950276244,0.12154696132596685,181,0.185,0.11,
resnet,raw,18,False,FGSM,0.3,0.085,200,0.3,0.085,
resnet,raw,18,False,LLC,0.2391304347826087,0.11956521739130435,184,0.22,0.11,
resnet,raw,18,False,PGD,0.26,0.075,200,0.26,0.075,
resnet,raw,18,False,RFGSM,0.23115577889447236,0.08542713567839195,199,0.23,0.085,
resnet,raw,18,False,STEP_LLC,0.2849740932642487,0.05699481865284974,193,0.275,0.055,
resnet,raw,18,False,UAP,0.20540540540540542,0.10270270270270271,185,0.19,0.095,
resnet,raw,34,True,BL-BFGS,0.19,0.005,200,0.19,0.005,
resnet,raw,34,True,CW2,0.19,0.005,200,0.19,0.005,
resnet,raw,34,True,DeepFool,0.17766497461928935,0.15228426395939088,197,0.175,0.15,
resnet,raw,34,True,FGSM,0.25,0.1590909090909091,176,0.22,0.14,
resnet,raw,34,True,LLC,0.19047619047619047,0.10582010582010581,189,0.18,0.1,
resnet,raw,34,True,PGD,0.19,0.145,200,0.19,0.145,
resnet,raw,34,True,RFGSM,0.24352331606217617,0.16580310880829016,193,0.235,0.16,
resnet,raw,34,True,STEP_LLC,0.2631578947368421,0.09868421052631579,152,0.2,0.075,
resnet,raw,34,True,UAP,0.34285714285714286,0.3,70,0.12,0.105,
resnet,raw,34,False,BL-BFGS,0.185,0.005,200,0.185,0.005,
resnet,raw,34,False,CW2,0.18,0.005,200,0.18,0.005,
resnet,raw,34,False,DeepFool,0.18181818181818182,0.11515151515151516,165,0.15,0.095,
resnet,raw,34,False,FGSM,0.3128205128205128,0.09743589743589744,195,0.305,0.095,
resnet,raw,34,False,LLC,0.24725274725274726,0.07692307692307693,182,0.225,0.07,
resnet,raw,34,False,PGD,0.22,0.085,200,0.22,0.085,
resnet,raw,34,False,RFGSM,0.2222222222222222,0.10101010101010101,198,0.22,0.1,
resnet,raw,34,False,STEP_LLC,0.28205128205128205,0.06666666666666667,195,0.275,0.065,
resnet,raw,34,False,UAP,0.20710059171597633,0.09467455621301775,169,0.175,0.08,
resnet,raw,50,True,BL-BFGS,0.18090452261306533,0.005025125628140704,199,0.18,0.005,
resnet,raw,50,True,CW2,0.185,0.005,200,0.185,0.005,
resnet,raw,50,True,DeepFool,0.17098445595854922,0.13471502590673576,193,0.165,0.13,
resnet,raw,50,True,FGSM,0.27672955974842767,0.1320754716981132,159,0.22,0.105,
resnet,raw,50,True,LLC,0.19786096256684493,0.11764705882352941,187,0.185,0.11,
resnet,raw,50,True,PGD,0.205,0.155,200,0.205,0.155,
resnet,raw,50,True,RFGSM,0.2356020942408377,0.15706806282722513,191,0.225,0.15,
resnet,raw,50,True,STEP_LLC,0.2748091603053435,0.1297709923664122,131,0.18,0.085,
resnet,raw,50,True,UAP,0.3880597014925373,0.26865671641791045,67,0.13,0.09,
resnet,raw,50,False,BL-BFGS,0.185,0.005,200,0.185,0.005,
resnet,raw,50,False,CW2,0.19,0.005,200,0.19,0.005,
resnet,raw,50,False,DeepFool,0.1676300578034682,0.17341040462427745,173,0.145,0.15,
resnet,raw,50,False,FGSM,0.30687830687830686,0.15343915343915343,189,0.29,0.145,
resnet,raw,50,False,LLC,0.2303370786516854,0.0898876404494382,178,0.205,0.08,
resnet,raw,50,False,PGD,0.22,0.08,200,0.22,0.08,
resnet,raw,50,False,RFGSM,0.2552083333333333,0.15104166666666666,192,0.245,0.145,
resnet,raw,50,False,STEP_LLC,0.30851063829787234,0.0425531914893617,188,0.29,0.04,
resnet,raw,50,False,UAP,0.18681318681318682,0.14285714285714285,182,0.17,0.13,
resnet,augmented,18,True,BL-BFGS,0.18,0.005,200,0.18,0.005,
resnet,augmented,18,True,CW2,0.19,0.005,200,0.19,0.005,
