Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
vgg,raw,11,True,BL-BFGS,0.03,0.115,200,0.03,0.115,
vgg,raw,11,True,CW2,0.01,0.115,200,0.01,0.115,
vgg,raw,11,True,DeepFool,0.0106951871657754,0.11764705882352941,187,0.01,0.11,
vgg,raw,11,True,FGSM,0.15384615384615385,0.1282051282051282,156,0.12,0.1,
vgg,raw,11,True,LLC,0.03428571428571429,0.09714285714285714,175,0.03,0.085,
vgg,raw,11,True,PGD,0.09467455621301775,0.13609467455621302,169,0.08,0.115,
vgg,raw,11,True,RFGSM,0.0718562874251497,0.11976047904191617,167,0.06,0.1,
vgg,raw,11,True,STEP_LLC,0.164021164021164,0.08994708994708994,189,0.155,0.085,
vgg,raw,11,True,UAP,0.03867403314917127,0.12154696132596685,181,0.035,0.11,
vgg,raw,13,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
vgg,raw,13,True,CW2,0.005,0.115,200,0.005,0.115,
vgg,raw,13,True,DeepFool,0.005376344086021506,0.07526881720430108,186,0.005,0.07,
vgg,raw,13,True,FGSM,0.17647058823529413,0.0784313725490196,102,0.09,0.04,
vgg,raw,13,True,LLC,0.04678362573099415,0.05263157894736842,171,0.04,0.045,
vgg,raw,13,True,PGD,0.1,0.125,120,0.06,0.075,
vgg,raw,13,True,RFGSM,0.06896551724137931,0.13793103448275862,116,0.04,0.08,
vgg,raw,13,True,STEP_LLC,0.16489361702127658,0.02127659574468085,188,0.155,0.02,
vgg,raw,13,True,UAP,0.031088082901554404,0.06217616580310881,193,0.03,0.06,
vgg,raw,16,True,BL-BFGS,0.08602150537634409,0.11827956989247312,186,0.08,0.11,
vgg,raw,16,True,CW2,0.005319148936170213,0.11702127659574468,188,0.005,0.11,
vgg,raw,16,True,DeepFool,0.010471204188481676,0.09424083769633508,191,0.01,0.09,
vgg,raw,16,True,FGSM,0.5125,0.0875,80,0.205,0.035,
vgg,raw,16,True,LLC,0.11173184357541899,0.08379888268156424,179,0.1,0.075,
vgg,raw,16,True,PGD,0.11363636363636363,0.07575757575757576,132,0.075,0.05,
vgg,raw,16,True,RFGSM,0.2396694214876033,0.09090909090909091,121,0.145,0.055,
vgg,raw,16,True,STEP_LLC,0.5028571428571429,0.03428571428571429,175,0.44,0.03,
vgg,raw,16,True,UAP,0.03608247422680412,0.05154639175257732,194,0.035,0.05,
vgg,raw,19,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
vgg,raw,19,True,CW2,0.005,0.115,200,0.005,0.115,
vgg,raw,19,True,DeepFool,0.0,0.10215053763440861,186,0.0,0.095,
vgg,raw,19,True,FGSM,0.22916666666666666,0.09027777777777778,144,0.165,0.065,
vgg,raw,19,True,LLC,0.040229885057471264,0.06896551724137931,174,0.035,0.06,
vgg,raw,19,True,PGD,0.07407407407407407,0.15432098765432098,162,0.06,0.125,
vgg,raw,19,True,RFGSM,0.07792207792207792,0.14935064935064934,154,0.06,0.115,
vgg,raw,19,True,STEP_LLC,0.16111111111111112,0.07222222222222222,180,0.145,0.065,
vgg,raw,19,True,UAP,0.02617801047120419,0.06282722513089005,191,0.025,0.06,
