Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
vgg,raw,11,True,BL-BFGS,0.145,0.02,200,0.145,0.02,
vgg,raw,11,True,CW2,0.15,0.015,200,0.15,0.015,
vgg,raw,11,True,DeepFool,0.13368983957219252,0.0374331550802139,187,0.125,0.035,
vgg,raw,11,True,FGSM,0.30128205128205127,0.038461538461538464,156,0.235,0.03,
vgg,raw,11,True,LLC,0.17714285714285713,0.022857142857142857,175,0.155,0.02,
vgg,raw,11,True,PGD,0.21301775147928995,0.07100591715976332,169,0.18,0.06,
vgg,raw,11,True,RFGSM,0.2155688622754491,0.07784431137724551,167,0.18,0.065,
vgg,raw,11,True,STEP_LLC,0.2857142857142857,0.021164021164021163,189,0.27,0.02,
vgg,raw,11,True,UAP,0.17751479289940827,0.07692307692307693,169,0.15,0.065,
vgg,raw,13,True,BL-BFGS,0.12804878048780488,0.024390243902439025,164,0.105,0.02,
vgg,raw,13,True,CW2,0.14204545454545456,0.022727272727272728,176,0.125,0.02,
vgg,raw,13,True,DeepFool,0.11827956989247312,0.03225806451612903,186,0.11,0.03,
vgg,raw,13,True,FGSM,0.3333333333333333,0.029411764705882353,102,0.17,0.015,
vgg,raw,13,True,LLC,0.15333333333333332,0.006666666666666667,150,0.115,0.005,
vgg,raw,13,True,PGD,0.21666666666666667,0.03333333333333333,120,0.13,0.02,
vgg,raw,13,True,RFGSM,0.2413793103448276,0.034482758620689655,116,0.14,0.02,
vgg,raw,13,True,STEP_LLC,0.28191489361702127,0.026595744680851064,188,0.265,0.025,
vgg,raw,13,True,UAP,0.1695906432748538,0.05263157894736842,171,0.145,0.045,
vgg,raw,16,True,BL-BFGS,0.17204301075268819,0.026881720430107527,186,0.16,0.025,
vgg,raw,16,True,CW2,0.12234042553191489,0.02127659574468085,188,0.115,0.02,
vgg,raw,16,True,DeepFool,0.12041884816753927,0.020942408376963352,191,0.115,0.02,
vgg,raw,16,True,FGSM,0.6455696202531646,0.02531645569620253,79,0.255,0.01,
vgg,raw,16,True,LLC,0.2011173184357542,0.0446927374301676,179,0.18,0.04,
vgg,raw,16,True,PGD,0.2727272727272727,0.045454545454545456,132,0.18,0.03,
vgg,raw,16,True,RFGSM,0.2727272727272727,0.04132231404958678,121,0.165,0.025,
vgg,raw,16,True,STEP_LLC,0.48,0.0,175,0.42,0.0,
vgg,raw,16,True,UAP,0.13917525773195877,0.04639175257731959,194,0.135,0.045,
vgg,raw,19,True,BL-BFGS,0.11,0.02,200,0.11,0.02,
vgg,raw,19,True,CW2,0.125,0.02,200,0.125,0.02,
vgg,raw,19,True,DeepFool,0.13978494623655913,0.03763440860215054,186,0.13,0.035,
vgg,raw,19,True,FGSM,0.3055555555555556,0.034722222222222224,144,0.22,0.025,
vgg,raw,19,True,LLC,0.1896551724137931,0.022988505747126436,174,0.165,0.02,
vgg,raw,19,True,PGD,0.19753086419753085,0.04938271604938271,162,0.16,0.04,
vgg,raw,19,True,RFGSM,0.24025974025974026,0.045454545454545456,154,0.185,0.035,
vgg,raw,19,True,STEP_LLC,0.2833333333333333,0.03333333333333333,180,0.255,0.03,
vgg,raw,19,True,UAP,0.18324607329842932,0.041884816753926704,191,0.175,0.04,
