Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
vgg,raw,11,True,BL-BFGS,0.185,0.005,200,0.185,0.005,
vgg,raw,11,True,CW2,0.18,0.005,200,0.18,0.005,
vgg,raw,11,True,DeepFool,0.16042780748663102,0.1657754010695187,187,0.15,0.155,
vgg,raw,11,True,FGSM,0.3141025641025641,0.1346153846153846,156,0.245,0.105,
vgg,raw,11,True,LLC,0.24,0.08,175,0.21,0.07,
vgg,raw,11,True,PGD,0.23076923076923078,0.11834319526627218,169,0.195,0.1,
vgg,raw,11,True,RFGSM,0.25149700598802394,0.1437125748502994,167,0.21,0.12,
vgg,raw,11,True,STEP_LLC,0.30158730158730157,0.08994708994708994,189,0.285,0.085,
vgg,raw,11,True,UAP,0.1878453038674033,0.10497237569060773,181,0.17,0.095,
vgg,raw,13,True,BL-BFGS,0.165,0.005,200,0.165,0.005,
vgg,raw,13,True,CW2,0.18,0.005,200,0.18,0.005,
vgg,raw,13,True,DeepFool,0.1827956989247312,0.12365591397849462,186,0.17,0.115,
vgg,raw,13,True,FGSM,0.29411764705882354,0.10784313725490197,102,0.15,0.055,
vgg,raw,13,True,LLC,0.22807017543859648,0.09941520467836257,171,0.195,0.085,
vgg,raw,13,True,PGD,0.225,0.15833333333333333,120,0.135,0.095,
vgg,raw,13,True,RFGSM,0.27586206896551724,0.1724137931034483,116,0.16,0.1,
vgg,raw,13,True,STEP_LLC,0.26063829787234044,0.06382978723404255,188,0.245,0.06,
vgg,raw,13,True,UAP,0.20207253886010362,0.07253886010362694,193,0.195,0.07,
vgg,raw,16,True,BL-BFGS,0.21505376344086022,0.005376344086021506,186,0.2,0.005,
vgg,raw,16,True,CW2,0.1595744680851064,0.005319148936170213,188,0.15,0.005,
vgg,raw,16,True,DeepFool,0.17277486910994763,0.09424083769633508,191,0.165,0.09,
vgg,raw,16,True,FGSM,0.6,0.0625,80,0.24,0.025,
vgg,raw,16,True,LLC,0.24022346368715083,0.0,179,0.215,0.0,
vgg,raw,16,True,PGD,0.25757575757575757,0.12121212121212122,132,0.17,0.08,
vgg,raw,16,True,RFGSM,0.3305785123966942,0.05785123966942149,121,0.2,0.035,
vgg,raw,16,True,STEP_LLC,0.52,0.04,175,0.455,0.035,
vgg,raw,16,True,UAP,0.19072164948453607,0.0979381443298969,194,0.185,0.095,
vgg,raw,19,True,BL-BFGS,0.185,0.005,200,0.185,0.005,
vgg,raw,19,True,CW2,0.19,0.005,200,0.19,0.005,
vgg,raw,19,True,DeepFool,0.16129032258064516,0.15053763440860216,186,0.15,0.14,
vgg,raw,19,True,FGSM,0.3055555555555556,0.0763888888888889,144,0.22,0.055,
vgg,raw,19,True,LLC,0.20689655172413793,0.05747126436781609,174,0.18,0.05,
vgg,raw,19,True,PGD,0.20987654320987653,0.10493827160493827,162,0.17,0.085,
vgg,raw,19,True,RFGSM,0.2532467532467532,0.09740259740259741,154,0.195,0.075,
vgg,raw,19,True,STEP_LLC,0.2777777777777778,0.05,180,0.25,0.045,
vgg,raw,19,True,UAP,0.20418848167539266,0.13089005235602094,191,0.195,0.125,
